,A,Q,Context,len_Context,label
3,Me?,"I'm glad I'm not crying because I would hate for you to think that what I'm about to say is based on emotion. But you, sir, are a baboon!","Mr. Bergstrom left today. He's gone. Forever. I didn't think you'd understand. I'm glad I'm not crying because I would hate for you to think that what I'm about to say is based on emotion. But you, sir, are a baboon!",4.0,1.0
4,I don't think you realize what you're saying.,"Yes, you! Baboon, baboon, baboon, baboon!","He's gone. Forever. I didn't think you'd understand. I'm glad I'm not crying because I would hate for you to think that what I'm about to say is based on emotion. But you, sir, are a baboon! Yes, you! Baboon, baboon, baboon, baboon!",4.0,1.0
5,"Did you hear that, Marge? She called me a baboon! The stupidest, ugliest, smelliest ape of them all!","Whoa, somebody was bound to say it one day. I just can't believe it was her.","I didn't think you'd understand. I'm glad I'm not crying because I would hate for you to think that what I'm about to say is based on emotion. But you, sir, are a baboon! Yes, you! Baboon, baboon, baboon, baboon! Whoa, somebody was bound to say it one day. I just can't believe it was her.",4.0,1.0
6,"Go Away. Lisa, don't hold anything back. You can tell me. Are you crying because you called Daddy a baboon?","Homer, you are not allowed to have hurt feelings right now. There's a little girl upstairs who needs you. Her confidence in her father is shaken, and no little girl can be happy unless she has faith in her Daddy.","I'm glad I'm not crying because I would hate for you to think that what I'm about to say is based on emotion. But you, sir, are a baboon! Yes, you! Baboon, baboon, baboon, baboon! Whoa, somebody was bound to say it one day. I just can't believe it was her. Homer, you are not allowed to have hurt feelings right now. There's a little girl upstairs who needs you. Her confidence in her father is shaken, and no little girl can be happy unless she has faith in her Daddy.",4.0,1.0
7,Nuts. This isn't going well at all.,No!,"Yes, you! Baboon, baboon, baboon, baboon! Whoa, somebody was bound to say it one day. I just can't believe it was her. Homer, you are not allowed to have hurt feelings right now. There's a little girl upstairs who needs you. Her confidence in her father is shaken, and no little girl can be happy unless she has faith in her Daddy. No!",4.0,1.0
8,"No, no, no. I just wish I knew what to say. Although, maybe this will help. Now you lost someone special and it hurts. I'm lucky because I never lost anyone special to me. Everyone special to me is under this roof.","Look, if you just want me to forgive you --","Whoa, somebody was bound to say it one day. I just can't believe it was her. Homer, you are not allowed to have hurt feelings right now. There's a little girl upstairs who needs you. Her confidence in her father is shaken, and no little girl can be happy unless she has faith in her Daddy. No! Look, if you just want me to forgive you --",4.0,1.0
9,Oh.,That was our wedding.,"Homer, you are not allowed to have hurt feelings right now. There's a little girl upstairs who needs you. Her confidence in her father is shaken, and no little girl can be happy unless she has faith in her Daddy. No! Look, if you just want me to forgive you -- That was our wedding.",4.0,1.0
10,"It's true. Now, you'll have lots of special people in your life, Lisa. There's probably some place where they all get together, and the food is real good, and guys like me are serving drinks. Oh well, maybe I can't explain all this, but I can fix your doll house for you. At least, I'm good at monkey work. You know... monkey. You know what I mean?","Children, it's time for you to go to bed.","No! Look, if you just want me to forgive you -- That was our wedding. Children, it's time for you to go to bed.",4.0,1.0
11,I can hold these nails in place with my tail.,Yeah.,"Look, if you just want me to forgive you -- That was our wedding. Children, it's time for you to go to bed. Yeah.",4.0,1.0
12,Gimme a banana.,You're so silly.,"That was our wedding. Children, it's time for you to go to bed. Yeah. You're so silly.",4.0,1.0
